Delta_C,Vega_C,Impl_Vol_C,Open_Int_C,BID_C,ASK_C,Exp,Strike,BID_P,ASK_P,Delta_P,Vega_P,Impl_Vol_P,Open_Int_P
0.91,0.134,0.4678,"2,741",53.53,53.79,15-Jun-18,210,0.17,0.19,-0.017,0.039,0.3113,"62,837"
0.909,0.135,0.4594,"1,213",52.53,52.8,15-Jun-18,211,0.18,0.2,-0.018,0.041,0.3081,"5,631"
0.909,0.136,0.4514,55,51.54,51.81,15-Jun-18,212,0.19,0.2,-0.019,0.042,0.3035,"9,840"
0.908,0.137,0.4435,601,50.55,50.82,15-Jun-18,213,0.2,0.21,-0.02,0.044,0.3001,"4,790"
0.908,0.138,0.4353,"1,187",49.56,49.82,15-Jun-18,214,0.2,0.22,-0.02,0.045,0.2954,"8,321"
0.907,0.139,0.4271,854,48.56,48.83,15-Jun-18,215,0.21,0.23,-0.022,0.047,0.2917,"31,162"
0.907,0.141,0.4193,"2,078",47.57,47.84,15-Jun-18,216,0.22,0.24,-0.023,0.049,0.288,"16,929"
0.906,0.142,0.4115,"1,786",46.58,46.85,15-Jun-18,217,0.23,0.25,-0.024,0.052,0.2842,"8,717"
0.905,0.144,0.4042,654,45.6,45.86,15-Jun-18,218,0.24,0.26,-0.025,0.054,0.2802,"19,072"
0.904,0.145,0.3969,457,44.62,44.87,15-Jun-18,219,0.25,0.27,-0.026,0.056,0.2761,"6,683"
0.903,0.147,0.3893,"1,745",43.62,43.89,15-Jun-18,220,0.27,0.28,-0.028,0.059,0.2729,"76,837"
0.902,0.148,0.3817,907,42.63,42.9,15-Jun-18,221,0.28,0.29,-0.029,0.061,0.2686,"15,572"
0.901,0.15,0.3745,951,41.65,41.91,15-Jun-18,222,0.29,0.3,-0.031,0.063,0.2643,"16,221"
0.899,0.152,0.3673,879,40.67,40.92,15-Jun-18,223,0.3,0.32,-0.032,0.066,0.2606,"15,823"
0.898,0.154,0.3601,922,39.68,39.94,15-Jun-18,224,0.32,0.33,-0.034,0.069,0.2569,"12,231"
0.896,0.156,0.3529,"4,209",38.69,38.96,15-Jun-18,225,0.33,0.35,-0.036,0.072,0.253,"49,128"
0.895,0.159,0.3461,539,37.72,37.97,15-Jun-18,226,0.35,0.37,-0.038,0.076,0.2496,"8,531"
0.893,0.161,0.3393,774,36.74,36.99,15-Jun-18,227,0.37,0.39,-0.041,0.08,0.2461,"11,798"
0.891,0.164,0.3324,"1,911",35.76,36.01,15-Jun-18,228,0.39,0.41,-0.043,0.084,0.2424,"7,088"
0.889,0.167,0.3256,653,34.78,35.03,15-Jun-18,229,0.42,0.43,-0.046,0.088,0.2392,"14,262"
0.886,0.17,0.319,"2,635",33.81,34.05,15-Jun-18,230,0.44,0.46,-0.049,0.093,0.2357,"83,459"
0.884,0.173,0.3125,"1,116",32.83,33.08,15-Jun-18,231,0.47,0.49,-0.052,0.098,0.2326,"21,003"
0.881,0.176,0.3059,"1,847",31.86,32.1,15-Jun-18,232,0.5,0.51,-0.055,0.102,0.2288,"11,056"
